data,ms
2021-10-11 21:41:03,868  INFO --- MqttFX ClientModel             : messageArrived() added: message #39 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:04,530  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:04,530  INFO --- MqttFX ClientModel             : messageArrived() added: message #40 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:05,084  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:05,085  INFO --- MqttFX ClientModel             : messageArrived() added: message #41 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:05,616  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:05,616  INFO --- MqttFX ClientModel             : messageArrived() added: message #42 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:06,266  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:06,267  INFO --- MqttFX ClientModel             : messageArrived() added: message #43 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:06,841  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:06,842  INFO --- MqttFX ClientModel             : messageArrived() added: message #44 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:07,499  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:07,500  INFO --- MqttFX ClientModel             : messageArrived() added: message #45 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:08,109  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:08,109  INFO --- MqttFX ClientModel             : messageArrived() added: message #46 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:08,733  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:08,733  INFO --- MqttFX ClientModel             : messageArrived() added: message #47 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:10,468  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:10,469  INFO --- MqttFX ClientModel             : messageArrived() added: message #48 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:10,469  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:10,469  INFO --- MqttFX ClientModel             : messageArrived() added: message #49 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:10,775  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:10,776  INFO --- MqttFX ClientModel             : messageArrived() added: message #50 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:11,104  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:11,104  INFO --- MqttFX ClientModel             : messageArrived() added: message #51 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:11,795  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:11,795  INFO --- MqttFX ClientModel             : messageArrived() added: message #52 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:12,368  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:12,368  INFO --- MqttFX ClientModel             : messageArrived() added: message #53 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:13,003  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:13,003  INFO --- MqttFX ClientModel             : messageArrived() added: message #54 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:13,621  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:13,621  INFO --- MqttFX ClientModel             : messageArrived() added: message #55 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:14,153  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:14,154  INFO --- MqttFX ClientModel             : messageArrived() added: message #56 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:14,827  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:14,828  INFO --- MqttFX ClientModel             : messageArrived() added: message #57 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:15,344  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:15,344  INFO --- MqttFX ClientModel             : messageArrived() added: message #58 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:15,983  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:15,984  INFO --- MqttFX ClientModel             : messageArrived() added: message #59 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:16,510  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:16,510  INFO --- MqttFX ClientModel             : messageArrived() added: message #60 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:17,224  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:17,224  INFO --- MqttFX ClientModel             : messageArrived() added: message #61 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:17,796  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:17,796  INFO --- MqttFX ClientModel             : messageArrived() added: message #62 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:18,336  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:18,336  INFO --- MqttFX ClientModel             : messageArrived() added: message #63 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:41:18,769  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:41:18,769  INFO --- MqttFX ClientModel             : messageArrived() added: message #64 to topic 'ucb/iot/group7/esp32/1/leds/red'
